QID,Difficulty,question_quality
0,0.444444444,low_quality
1,0.903508772,average_quality
2,0.693227092,high_quality
3,0.583333333,low_quality
4,0.938271605,low_quality
5,0.493975904,low_quality
6,0.699453552,high_quality
7,0.987951807,low_quality
8,0.612403101,average_quality
9,0.984615385,low_quality
10,0.940298507,low_quality
11,0.794520548,low_quality
12,0.875,low_quality
13,0.732142857,low_quality
14,0.574766355,high_quality
15,0.805555556,high_quality
16,0.932038835,low_quality
17,0.956521739,low_quality
18,0.884615385,average_quality
19,0.644736842,average_quality
20,0.476923077,high_quality
21,0.644067797,average_quality
22,0.516129032,high_quality
23,0.896103896,low_quality
24,0.579545455,average_quality
25,0.666666667,average_quality
26,0.718309859,low_quality
27,0.510204082,average_quality
28,0.616666667,average_quality
29,0.559139785,average_quality
30,0.666666667,average_quality
31,0.401785714,high_quality
32,0.777777778,high_quality
33,0.914285714,average_quality
34,0.683544304,average_quality
35,0.605633803,average_quality
36,0.722222222,high_quality
37,0.611111111,high_quality
38,0.633333333,high_quality
39,0.698630137,high_quality
40,0.888888889,high_quality
41,0.677966102,high_quality
